Time,min,max,emg_read
2026-03-28 12:55:35.492,0,4096,205
2026-03-28 12:55:35.492,0,4096,206
2026-03-28 12:55:35.492,0,4096,211
2026-03-28 12:55:35.492,0,4096,217
2026-03-28 12:55:35.492,0,4096,223
2026-03-28 12:55:35.492,0,4096,231
2026-03-28 12:55:35.492,0,4096,238
2026-03-28 12:55:35.492,0,4096,241
2026-03-28 12:55:35.492,0,4096,249
2026-03-28 12:55:35.492,0,4096,254
2026-03-28 12:55:35.492,0,4096,258
2026-03-28 12:55:35.493,0,4096,263
2026-03-28 12:55:35.493,0,4096,269
2026-03-28 12:55:35.493,0,4096,272
2026-03-28 12:55:35.493,0,4096,278
2026-03-28 12:55:35.493,0,4096,282
2026-03-28 12:55:35.493,0,4096,286
2026-03-28 12:55:35.493,0,4096,290
2026-03-28 12:55:35.493,0,4096,292
2026-03-28 12:55:35.493,0,4096,295
2026-03-28 12:55:35.544,0,4096,298
2026-03-28 12:55:35.644,0,4096,300
2026-03-28 12:55:35.744,0,4096,304
2026-03-28 12:55:35.844,0,4096,304
2026-03-28 12:55:35.944,0,4096,306
2026-03-28 12:55:36.044,0,4096,308
2026-03-28 12:55:36.144,0,4096,311
2026-03-28 12:55:36.244,0,4096,312
2026-03-28 12:55:36.345,0,4096,314
2026-03-28 12:55:36.445,0,4096,314
2026-03-28 12:55:36.545,0,4096,315
2026-03-28 12:55:36.644,0,4096,314
2026-03-28 12:55:36.744,0,4096,316
2026-03-28 12:55:36.844,0,4096,316
2026-03-28 12:55:36.944,0,4096,313
2026-03-28 12:55:37.045,0,4096,311
2026-03-28 12:55:37.145,0,4096,312
2026-03-28 12:55:37.245,0,4096,311
2026-03-28 12:55:37.345,0,4096,307
2026-03-28 12:55:37.445,0,4096,307
2026-03-28 12:55:37.546,0,4096,305
2026-03-28 12:55:37.646,0,4096,302
2026-03-28 12:55:37.746,0,4096,300
2026-03-28 12:55:37.846,0,4096,298
2026-03-28 12:55:37.946,0,4096,296
2026-03-28 12:55:38.046,0,4096,292
2026-03-28 12:55:38.146,0,4096,287
2026-03-28 12:55:38.246,0,4096,282
2026-03-28 12:55:38.346,0,4096,282
2026-03-28 12:55:38.446,0,4096,279
2026-03-28 12:55:38.546,0,4096,275
2026-03-28 12:55:38.646,0,4096,271
2026-03-28 12:55:38.747,0,4096,267
2026-03-28 12:55:38.846,0,4096,262
2026-03-28 12:55:38.947,0,4096,252
2026-03-28 12:55:39.047,0,4096,250
2026-03-28 12:55:39.147,0,4096,248
2026-03-28 12:55:39.247,0,4096,245
2026-03-28 12:55:39.347,0,4096,241
2026-03-28 12:55:39.447,0,4096,235
2026-03-28 12:55:39.547,0,4096,228
2026-03-28 12:55:39.647,0,4096,216
2026-03-28 12:55:39.747,0,4096,218
2026-03-28 12:55:39.847,0,4096,214
2026-03-28 12:55:39.947,0,4096,208
2026-03-28 12:55:40.048,0,4096,202
2026-03-28 12:55:40.148,0,4096,197
2026-03-28 12:55:40.248,0,4096,190
2026-03-28 12:55:40.348,0,4096,185
2026-03-28 12:55:40.448,0,4096,180
2026-03-28 12:55:40.547,0,4096,175
2026-03-28 12:55:40.648,0,4096,168
2026-03-28 12:55:40.748,0,4096,164
2026-03-28 12:55:40.848,0,4096,157
2026-03-28 12:55:40.948,0,4096,151
2026-03-28 12:55:41.048,0,4096,147
2026-03-28 12:55:41.148,0,4096,142
2026-03-28 12:55:41.248,0,4096,137
2026-03-28 12:55:41.349,0,4096,131
2026-03-28 12:55:41.449,0,4096,128
2026-03-28 12:55:41.549,0,4096,127
2026-03-28 12:55:41.649,0,4096,124
