Time,min,max,emg_read
2026-03-28 12:58:37:439,0,4096,305
2026-03-28 12:58:37:439,0,4096,303
2026-03-28 12:58:37:439,0,4096,303
2026-03-28 12:58:37:440,0,4096,302
2026-03-28 12:58:37:440,0,4096,299
2026-03-28 12:58:37:440,0,4096,296
2026-03-28 12:58:37:440,0,4096,287
2026-03-28 12:58:37:440,0,4096,281
2026-03-28 12:58:37:440,0,4096,281
2026-03-28 12:58:37:440,0,4096,278
2026-03-28 12:58:37:440,0,4096,272
2026-03-28 12:58:37:440,0,4096,268
2026-03-28 12:58:37:440,0,4096,262
2026-03-28 12:58:37:440,0,4096,254
2026-03-28 12:58:37:440,0,4096,254
2026-03-28 12:58:37:441,0,4096,246
2026-03-28 12:58:37:441,0,4096,239
2026-03-28 12:58:37:441,0,4096,232
2026-03-28 12:58:37:441,0,4096,225
2026-03-28 12:58:37:441,0,4096,215
2026-03-28 12:58:37:498,0,4096,208
2026-03-28 12:58:37:598,0,4096,201
2026-03-28 12:58:37:698,0,4096,191
2026-03-28 12:58:37:798,0,4096,182
2026-03-28 12:58:37:899,0,4096,170
2026-03-28 12:58:37:999,0,4096,163
2026-03-28 12:58:38:099,0,4096,155
2026-03-28 12:58:38:199,0,4096,147
2026-03-28 12:58:38:299,0,4096,141
2026-03-28 12:58:38:398,0,4096,131
2026-03-28 12:58:38:499,0,4096,127
2026-03-28 12:58:38:599,0,4096,123
2026-03-28 12:58:38:699,0,4096,120
2026-03-28 12:58:38:799,0,4096,114
2026-03-28 12:58:38:899,0,4096,111
2026-03-28 12:58:38:999,0,4096,110
2026-03-28 12:58:39:099,0,4096,107
2026-03-28 12:58:39:200,0,4096,105
2026-03-28 12:58:39:300,0,4096,104
2026-03-28 12:58:39:400,0,4096,105
2026-03-28 12:58:39:499,0,4096,106
2026-03-28 12:58:39:599,0,4096,107
2026-03-28 12:58:39:700,0,4096,108
2026-03-28 12:58:39:800,0,4096,112
2026-03-28 12:58:39:900,0,4096,115
2026-03-28 12:58:40:000,0,4096,120
2026-03-28 12:58:40:100,0,4096,123
2026-03-28 12:58:40:200,0,4096,127
2026-03-28 12:58:40:300,0,4096,130
2026-03-28 12:58:40:401,0,4096,135
2026-03-28 12:58:40:501,0,4096,142
2026-03-28 12:58:40:601,0,4096,148
2026-03-28 12:58:40:701,0,4096,155
2026-03-28 12:58:40:801,0,4096,161
2026-03-28 12:58:40:901,0,4096,168
2026-03-28 12:58:41:001,0,4096,176
2026-03-28 12:58:41:101,0,4096,182
2026-03-28 12:58:41:200,0,4096,191
2026-03-28 12:58:41:300,0,4096,192
2026-03-28 12:58:41:401,0,4096,200
2026-03-28 12:58:41:501,0,4096,207
2026-03-28 12:58:41:601,0,4096,224
2026-03-28 12:58:41:702,0,4096,234
2026-03-28 12:58:41:802,0,4096,240
2026-03-28 12:58:41:902,0,4096,250
2026-03-28 12:58:42:002,0,4096,258
2026-03-28 12:58:42:101,0,4096,266
2026-03-28 12:58:42:201,0,4096,274
2026-03-28 12:58:42:301,0,4096,279
2026-03-28 12:58:42:402,0,4096,287
2026-03-28 12:58:42:501,0,4096,292
2026-03-28 12:58:42:602,0,4096,295
2026-03-28 12:58:42:702,0,4096,298
2026-03-28 12:58:42:802,0,4096,302
2026-03-28 12:58:42:902,0,4096,303
2026-03-28 12:58:43:002,0,4096,308
2026-03-28 12:58:43:103,0,4096,310
2026-03-28 12:58:43:203,0,4096,311
