Time,min,max,emg_read
2026-03-28 12:55:45.173,0,4096,104
2026-03-28 12:55:45.173,0,4096,104
2026-03-28 12:55:45.173,0,4096,104
2026-03-28 12:55:45.174,0,4096,105
2026-03-28 12:55:45.174,0,4096,105
2026-03-28 12:55:45.174,0,4096,109
2026-03-28 12:55:45.174,0,4096,108
2026-03-28 12:55:45.174,0,4096,111
2026-03-28 12:55:45.174,0,4096,113
2026-03-28 12:55:45.174,0,4096,116
2026-03-28 12:55:45.174,0,4096,116
2026-03-28 12:55:45.174,0,4096,119
2026-03-28 12:55:45.174,0,4096,122
2026-03-28 12:55:45.174,0,4096,124
2026-03-28 12:55:45.174,0,4096,127
2026-03-28 12:55:45.174,0,4096,124
2026-03-28 12:55:45.174,0,4096,127
2026-03-28 12:55:45.174,0,4096,129
2026-03-28 12:55:45.174,0,4096,134
2026-03-28 12:55:45.175,0,4096,138
2026-03-28 12:55:45.251,0,4096,145
2026-03-28 12:55:45.350,0,4096,151
2026-03-28 12:55:45.451,0,4096,156
2026-03-28 12:55:45.550,0,4096,161
2026-03-28 12:55:45.650,0,4096,164
2026-03-28 12:55:45.750,0,4096,170
2026-03-28 12:55:45.851,0,4096,173
2026-03-28 12:55:45.950,0,4096,172
2026-03-28 12:55:46.051,0,4096,177
2026-03-28 12:55:46.151,0,4096,181
2026-03-28 12:55:46.252,0,4096,187
2026-03-28 12:55:46.352,0,4096,193
2026-03-28 12:55:46.452,0,4096,197
2026-03-28 12:55:46.551,0,4096,202
2026-03-28 12:55:46.651,0,4096,205
2026-03-28 12:55:46.751,0,4096,212
2026-03-28 12:55:46.851,0,4096,217
2026-03-28 12:55:46.951,0,4096,221
2026-03-28 12:55:47.051,0,4096,228
2026-03-28 12:55:47.152,0,4096,232
2026-03-28 12:55:47.252,0,4096,237
2026-03-28 12:55:47.352,0,4096,243
2026-03-28 12:55:47.452,0,4096,247
2026-03-28 12:55:47.552,0,4096,258
2026-03-28 12:55:47.653,0,4096,264
2026-03-28 12:55:47.752,0,4096,269
2026-03-28 12:55:47.852,0,4096,274
2026-03-28 12:55:47.952,0,4096,277
2026-03-28 12:55:48.052,0,4096,280
2026-03-28 12:55:48.152,0,4096,284
2026-03-28 12:55:48.252,0,4096,287
2026-03-28 12:55:48.352,0,4096,287
2026-03-28 12:55:48.452,0,4096,294
2026-03-28 12:55:48.552,0,4096,295
2026-03-28 12:55:48.652,0,4096,300
2026-03-28 12:55:48.754,0,4096,305
2026-03-28 12:55:48.853,0,4096,298
2026-03-28 12:55:48.954,0,4096,306
2026-03-28 12:55:49.054,0,4096,309
2026-03-28 12:55:49.153,0,4096,311
2026-03-28 12:55:49.253,0,4096,310
2026-03-28 12:55:49.353,0,4096,311
2026-03-28 12:55:49.453,0,4096,306
