Time,min,max,emg_read
2026-03-28 13:14:02:763,0,4096,61
2026-03-28 13:14:02:763,0,4096,60
2026-03-28 13:14:02:763,0,4096,60
2026-03-28 13:14:02:763,0,4096,61
2026-03-28 13:14:02:763,0,4096,61
2026-03-28 13:14:02:763,0,4096,61
2026-03-28 13:14:02:763,0,4096,62
2026-03-28 13:14:02:763,0,4096,62
2026-03-28 13:14:02:764,0,4096,61
2026-03-28 13:14:02:764,0,4096,62
2026-03-28 13:14:02:764,0,4096,61
2026-03-28 13:14:02:764,0,4096,63
2026-03-28 13:14:02:764,0,4096,63
2026-03-28 13:14:02:764,0,4096,62
2026-03-28 13:14:02:764,0,4096,63
2026-03-28 13:14:02:764,0,4096,63
2026-03-28 13:14:02:764,0,4096,63
2026-03-28 13:14:02:764,0,4096,64
2026-03-28 13:14:02:764,0,4096,64
2026-03-28 13:14:02:764,0,4096,64
2026-03-28 13:14:02:831,0,4096,64
2026-03-28 13:14:02:932,0,4096,66
2026-03-28 13:14:03:032,0,4096,65
2026-03-28 13:14:03:132,0,4096,65
2026-03-28 13:14:03:232,0,4096,65
2026-03-28 13:14:03:332,0,4096,66
2026-03-28 13:14:03:432,0,4096,65
2026-03-28 13:14:03:532,0,4096,65
2026-03-28 13:14:03:632,0,4096,66
2026-03-28 13:14:03:732,0,4096,66
2026-03-28 13:14:03:832,0,4096,66
2026-03-28 13:14:03:932,0,4096,65
2026-03-28 13:14:04:032,0,4096,65
2026-03-28 13:14:04:132,0,4096,65
2026-03-28 13:14:04:233,0,4096,66
2026-03-28 13:14:04:333,0,4096,66
2026-03-28 13:14:04:433,0,4096,66
2026-03-28 13:14:04:533,0,4096,65
2026-03-28 13:14:04:633,0,4096,65
2026-03-28 13:14:04:733,0,4096,66
2026-03-28 13:14:04:833,0,4096,64
2026-03-28 13:14:04:933,0,4096,64
2026-03-28 13:14:05:033,0,4096,64
2026-03-28 13:14:05:133,0,4096,64
2026-03-28 13:14:05:233,0,4096,62
2026-03-28 13:14:05:334,0,4096,63
2026-03-28 13:14:05:434,0,4096,64
2026-03-28 13:14:05:534,0,4096,63
2026-03-28 13:14:05:634,0,4096,63
2026-03-28 13:14:05:734,0,4096,63
2026-03-28 13:14:05:834,0,4096,62
2026-03-28 13:14:05:934,0,4096,62
2026-03-28 13:14:06:034,0,4096,63
2026-03-28 13:14:06:134,0,4096,62
2026-03-28 13:14:06:234,0,4096,61
2026-03-28 13:14:06:334,0,4096,60
2026-03-28 13:14:06:434,0,4096,61
2026-03-28 13:14:06:534,0,4096,62
2026-03-28 13:14:06:635,0,4096,61
2026-03-28 13:14:06:735,0,4096,60
2026-03-28 13:14:06:835,0,4096,61
2026-03-28 13:14:06:935,0,4096,61
2026-03-28 13:14:07:035,0,4096,61
2026-03-28 13:14:07:135,0,4096,61
2026-03-28 13:14:07:235,0,4096,62
2026-03-28 13:14:07:335,0,4096,61
2026-03-28 13:14:07:435,0,4096,62
2026-03-28 13:14:07:535,0,4096,60
2026-03-28 13:14:07:635,0,4096,62
2026-03-28 13:14:07:735,0,4096,62
2026-03-28 13:14:07:835,0,4096,61
2026-03-28 13:14:07:936,0,4096,63
2026-03-28 13:14:08:036,0,4096,63
2026-03-28 13:14:08:136,0,4096,63
2026-03-28 13:14:08:236,0,4096,63
2026-03-28 13:14:08:336,0,4096,64
2026-03-28 13:14:08:436,0,4096,63
2026-03-28 13:14:08:536,0,4096,64
2026-03-28 13:14:08:636,0,4096,64
2026-03-28 13:14:08:736,0,4096,64
2026-03-28 13:14:08:836,0,4096,65
2026-03-28 13:14:08:936,0,4096,64
2026-03-28 13:14:09:036,0,4096,64
2026-03-28 13:14:09:136,0,4096,65
2026-03-28 13:14:09:237,0,4096,63
2026-03-28 13:14:09:337,0,4096,66
2026-03-28 13:14:09:437,0,4096,65
2026-03-28 13:14:09:537,0,4096,65
2026-03-28 13:14:09:637,0,4096,65
2026-03-28 13:14:09:737,0,4096,66
2026-03-28 13:14:09:837,0,4096,65
2026-03-28 13:14:09:937,0,4096,65
2026-03-28 13:14:10:037,0,4096,66
2026-03-28 13:14:10:137,0,4096,66
2026-03-28 13:14:10:237,0,4096,66
2026-03-28 13:14:10:337,0,4096,64
2026-03-28 13:14:10:437,0,4096,64
2026-03-28 13:14:10:538,0,4096,64
2026-03-28 13:14:10:638,0,4096,64
2026-03-28 13:14:10:738,0,4096,66
2026-03-28 13:14:10:838,0,4096,64
2026-03-28 13:14:10:938,0,4096,63
2026-03-28 13:14:11:038,0,4096,63
2026-03-28 13:14:11:138,0,4096,63
2026-03-28 13:14:11:238,0,4096,63
2026-03-28 13:14:11:338,0,4096,64
2026-03-28 13:14:11:438,0,4096,63
2026-03-28 13:14:11:538,0,4096,62
2026-03-28 13:14:11:639,0,4096,62
